expw_step,latitude,longitude
ศรีรัช,13.799755,100.579586
ฉลองรัช,13.79431,100.61221
เฉลิมมหานคร,13.69998380600718,100.59125047791808
ทางหลวงพิเศษหมายเลข 37,13.851619481199316,100.67323515984637
บางพลี-สุขสวัสดิ์,13.60,100.62
บูรพาวิถี,13.590624065576351,100.82416927731191
ศรีรัช-วงแหวนรอบนอก,13.79492750333415,100.48570995235141
อุดรรัถยา,14.0209052036545,100.57631266776227
S1,13.669449040377076,100.62616016385587
