id,road_no,road_name,km,accident_date,accident_time,type_accident,weather_accident,dead_men,dead_women,dead_child_men,dead_child_women,dead_total,injury_severe_men,injury_severe_women,injury_severe_child_men,injury_severe_child_women,injury_severe_total,injury_less_men,injury_less_women,injury_less_child_men,injury_less_child_women,injury_less_total,accident_vehicle,crash_pattern,cause,longitude,latitude
48119,ส.013,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,1+700,1/10/2024,0:05:00,สะพาน (สะพานข้ามแม่น้ำ/ข้ามคลอง),ฝนตก,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"รถปิคอัพบรรทุก 4 ล้อ,รถยนต์นั่ง(ส่วนบุคคล)",ชนท้ายและชนด้านข้าง (วิ่งมาในทิศทางเดียวกัน),ขับรถเร็วเกินอัตรากำหนด,100.539173,13.675105
48141,ชม.3035,แยกทางหลวงหมายเลข 108 (กม.ที่ 33+900) - บ้านร้อยจันทร์,5+975,1/10/2024,1:20:00,ทางตรง+ไม่มีความลาดชัน/ที่ราบ,แจ่มใส,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,รถจักรยานยนต์,ชนสิ่งกีดขวาง (บนผิวจราจร),คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,98.843674,18.578871
48169,นศ.4019,แยกทางหลวงหมายเลข 4016 (กม.ที่ 25+800) - บ้านอู่ตะเภา,1+360,1/10/2024,16:30:00,ทางตรง+ไม่มีความลาดชัน/ที่ราบ,แจ่มใส,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,รถปิคอัพบรรทุก 4 ล้อ,พลิกคว่ำ/ตกถนนในทางตรง,ขับรถเร็วเกินอัตรากำหนด,99.824549,8.570378
48202,อน.4010,แยกทางหลวงหมายเลข 3282 (กม.ที่ 44+200) - บ้านวังบ่าง,9+080,2/10/2024,16:50:00,ทางตรง+ไม่มีความลาดชัน/ที่ราบ,แจ่มใส,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"รถจักรยานยนต์,รถจักรยานยนต์",ชนเป็นมุมบริเวณทางแยก,ขับรถเร็วเกินอัตรากำหนด,99.627926,15.333728
48127,ลย.3019,แยกทางหลวงหมายเลข 201 (กม.ที่ 167+350) - บ้านท่าสะอาด,40+940,2/10/2024,19:50:00,ทางโค้งกว้าง+โค้งดิ่ง/ที่ลาดชัน,ฝนตก,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),พลิกคว่ำ/ตกถนนในทางโค้ง,ไม่คุ้นเคยเส้นทาง/ขับรถไม่ชำนาญ,101.929514,17.443964
