id,road_no,road_name,km,accident_date,accident_time,type_accident,weather_accident,dead_men,dead_women,dead_child_men,dead_child_women,dead_total,injury_severe_men,injury_severe_women,injury_severe_child_men,injury_severe_child_women,injury_severe_total,injury_less_men,injury_less_women,injury_less_child_men,injury_less_child_women,injury_less_total,accident_vehicle,crash_pattern,cause,longitude,latitude
42118,นม.5042,แยกทางหลวงชนบท นม.4035 (กม.ที่ 8+500) - บ้านหนองไผ่,24+150,1/10/2023,2:44:00,ทางโค้งหักศอก+ไม่มีความลาดชัน/ที่ราบ,แจ่มใส,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),พลิกคว่ำ/ตกถนนในทางโค้ง,ขับรถเร็วเกินอัตรากำหนด,102.375832,14.860607
42125,สต.3011,แยกทางหลวงหมายเลข 404 (กม.ที่ 66+900) - น้ำตกวังสายทอง,29+000,1/10/2023,15:00:00,ทางสามแยก(T),ฝนตก,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,รถจักรยานยนต์,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),ขับรถเร็วเกินอัตรากำหนด,99.917597,7.100885
42122,มส.5019,แยกทางหลวงชนบท มส.4001 (กม.ที่ 0+650) - บ้านดอยแสง,15+050,1/10/2023,17:35:00,ทางโค้งกว้าง+ไม่มีความลาดชัน/ที่ราบ,ฝนตก,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"รถจักรยานยนต์,รถยนต์นั่ง(ส่วนบุคคล)",ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),ขับรถเร็วเกินอัตรากำหนด,97.89486,19.371468
42128,สบ.4018,แยกทางหลวงหมายเลข 3222 (กม.ที่ 9+200) - บ้านห้วยตะเฆ่,2+950,1/10/2023,20:00:00,ทางตรง+ไม่มีความลาดชัน/ที่ราบ,แจ่มใส,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,รถจักรยานยนต์,พลิกคว่ำ/ตกถนนในทางตรง,ขับรถเร็วเกินอัตรากำหนด,101.000538,14.493842
42513,นศ.3027,แยกทางหลวงหมายเลข 401 (กม.ที่ 17+400) - บ้านกลาง,4+554,11/10/2023,18:45:00,ทางสามแยก(T),แจ่มใส,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,"รถจักรยานยนต์,รถจักรยานยนต์",ชนเป็นมุมบริเวณทางแยก,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,99.926542,8.610804
